text,label
"Which crop should I plant this season?",crop
"मुझे बताइए कौन सी फसल लगाऊँ",crop
"Is there any pest outbreak nearby?",risk
"क्या खेत में कीट है?",risk
"What is the market price of onions today?",market_yield
"प्याज का बाजार भाव क्या है?",market_yield
"Am I eligible for crop insurance and loan?",finance
"मुझे किस योजना का लाभ मिलेगा?",finance
"Which fertilizer for pH 6.5 soil?",crop
"When should I irrigate my field?",risk
"What crop is best for my soil type?",crop
"Which variety of rice should I grow?",crop
"Best crops for monsoon season",crop
"Suggest drought resistant crops",crop
"What to plant in sandy soil?",crop
"High yield crop recommendations",crop
"Organic farming crop suggestions",crop
"Cash crops for small farmers",crop
"Crop rotation suggestions",crop
"Winter season crop options",crop

"என் மண்ணுக்கு எந்த பயிர் சிறந்தது?",crop
"இந்த பருவத்தில் எந்த பயிர் நடவு செய்யலாம்?",crop
"நெல் சாகுபடிக்கு சிறந்த ரகம் எது?",crop
"வறட்சியை தாங்கும் பயிர்கள் எவை?",crop
"மணல் மண்ணில் என்ன பயிர் செய்யலாம்?",crop
"அதிக மகசூல் தரும் பயிர்கள்",crop
"இயற்கை விவசாயத்திற்கு ஏற்ற பயிர்கள்",crop
"சிறு விவசாயிகளுக்கான பணப்பயிர்கள்",crop
"பயிர் சுழற்சி பரிந்துரைகள்",crop
"குளிர்கால பயிர் விருப்பங்கள்",crop

"నా మట్టికి ఏ పంట మంచిది?",crop
"ఈ సీజన్‌లో ఏ పంట వేయాలి?",crop
"వరి సాగుకు మంచి రకం ఏది?",crop
"కరువు తట్టుకునే పంటలు ఏవి?",crop
"ఇసుక మట్టిలో ఏ పంట చేయాలి?",crop
"ఎక్కువ దిగుబడి ఇచ్చే పంటలు",crop
"సేంద్రీయ వ్యవసాయానికి అనువైన పంటలు",crop
"చిన్న రైతులకు లాభదాయక పంటలు",crop
"పంట మార్పిడి సూచనలు",crop
"చలికాలం పంట ఎంపికలు",crop

"എന്റെ മണ്ണിന് ഏത് വിളയാണ് നല്లത്?",crop
"ഈ സീസണിൽ ഏത് വിള നടാം?",crop
"നെല്ല് കൃഷിക്ക് നല്ല ഇനം ഏതാണ്?",crop
"വരൾച്ച സഹിക്കുന്ന വിളകൾ ഏവ?",crop
"മണൽ മണ്ണിൽ ഏത് വിള ചെയ്യാം?",crop
